# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5035
#@/user_id	salt-linux
a 	啊	c=5 d=2.59854 t=5035
dai 	帶	c=1 d=0.718924 t=5035
dai 	戴	c=0 d=0.0951229 t=5035
dai ban 	代辦	c=0 d=0.0970446 t=5035
dai ban shi xiang 	代辦事項	c=1 d=0.97531 t=5035
dai biao 	代表	c=1 d=0.752014 t=5035
dai dong 	帶動	c=1 d=0.960789 t=5035
dai ge 	帶個	c=0 d=0.025924 t=5035
dai ge wo de 	帶個我的	c=1 d=0.26054 t=5035
dai jin quan 	代金券	c=1 d=0.472367 t=5035
dai kou zhao 	戴口罩	c=2 d=1.91678 t=5035
dai li 	代理	c=3 d=1.11043 t=5035
dai li fu wu 	代理服務	c=1 d=0.588605 t=5035
dai ma 	代碼	c=3 d=2.02602 t=5035
dai quan 	帶權	c=1 d=0.496585 t=5035
dai tou 	帶頭	c=1 d=0.951229 t=5035
dan 	但	c=12 d=1.94688 t=5035
dan 	單	c=1 d=0.88692 t=5035
dan diao 	單調	c=0 d=0.0606531 t=5035
dan mu 	單目	c=8 d=3.2789 t=5035
dan shi 	但是	c=1 d=0.946485 t=5035
dan yu dao 	但遇到	c=1 d=0.00186406 t=5035
dang 	當	c=0 d=0.0222017 t=5035
dang 	黨	c=0 d=0.00437178 t=5035
dang qian 	當前	c=2 d=0.822835 t=5035
dang ran 	當然	c=0 d=0.00948935 t=5035
dang ran la 	當然啦	c=2 d=0.191216 t=5035
dang shi 	當時	c=1 d=0.343009 t=5035
dang shi ling dao yi qie de 	黨是領導一切的	c=1 d=0.0439369 t=5035
dang xing 	黨性	c=1 d=0.71177 t=5035
dang yuan 	黨員	c=4 d=2.16243 t=5035
dang zheng jun 	黨政軍	c=0 d=0.00432828 t=5035
dang zheng jun min xue 	黨政軍民學	c=1 d=0.0434998 t=5035
dang zhi bu 	黨支部	c=2 d=0.937747 t=5035
dang zhong 	當中	c=1 d=0.878095 t=5035
dang zhong de 	當中的	c=1 d=0.22313 t=5035
dao 	倒	c=1 d=0.213312 t=5035
dao 	到	c=6 d=1.22089 t=5035
dao 	道	c=0 d=0.0481909 t=5035
dao de jing 	道德經	c=2 d=0.129464 t=5035
dao le 	到了	c=1 d=0.398519 t=5035
dao ru 	導入	c=1 d=0.00431784 t=5035
